Question,Oprion 1,Option 2,Option 3,Option 4,Answer,Question_type,Diagram
"&lt;p&gt;A stone tied to a string is rotated in a circle. If the string is cut, the stone flies away from the circle because&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;A centrifugal force acts on the stone&lt;/p&gt;,&lt;p&gt;Of its inertia&lt;/p&gt;,&lt;p&gt;A centripetal force acts on the stone&lt;/p&gt;,&lt;p&gt;The reaction of the centripetal force&lt;/p&gt;,2,1,
"&lt;p&gt;A body moves with a constant speed along a circle. Then,&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;No work is done on it&lt;/p&gt;,&lt;p&gt;There is no acceleration produced in the body&lt;/p&gt;,&lt;p&gt;No force acts on the body&lt;/p&gt;,&lt;p&gt;The body has constant velocity&lt;/p&gt;,1,1,
&lt;p&gt;A tachometer is a device to measure&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Gravitational pull&lt;/p&gt;,&lt;p&gt;Speed of rotation&lt;/p&gt;,&lt;p&gt;Surface tension&lt;/p&gt;,&lt;p&gt;Tension in a spring&lt;/p&gt;,2,1,
"&lt;p&gt;Circular motion is found in many situations, such as&lt;/p&gt;&lt;p&gt;.&lt;/p&gt;",&lt;p&gt;wheelchair&lt;/p&gt;,&lt;p&gt;train&lt;/p&gt;,&lt;p&gt;gunshot&lt;/p&gt;,&lt;p&gt;throwing stone&lt;/p&gt;,1,1,
&lt;p&gt;Assume that the body has a perfectly definite and unchanging shape and size. We call this idealized model a&lt;/p&gt;,&lt;p&gt;tough body&lt;/p&gt;,&lt;p&gt;rigid body.&lt;/p&gt;,&lt;p&gt;rough body&lt;/p&gt;,&lt;p&gt;smooth body&lt;/p&gt;,2,1,
&lt;p&gt;Assume that the body has a perfectly definite and unchanging shape and size. We call this idealized model a&lt;/p&gt;,&lt;p&gt;tough body&lt;/p&gt;,&lt;p&gt;rigid body.&lt;/p&gt;,&lt;p&gt;rough body&lt;/p&gt;,&lt;p&gt;smooth body&lt;/p&gt;,2,1,
"&lt;p&gt;To describe rotational motion, the most natural way to measure the angle is not in degrees, but in&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;Celcious&lt;/p&gt;,&lt;p&gt;Kelvin&lt;/p&gt;,&lt;p&gt;Radian&lt;/p&gt;,&lt;p&gt;Newton&lt;/p&gt;,3,1,
&lt;p&gt;Hooke&amp;rsquo;s law is valid&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;only above elastic limit&lt;/p&gt;,&lt;p&gt;only within elastic limit&lt;/p&gt;,&lt;p&gt;only within plastic limit&lt;/p&gt;,&lt;p&gt;breaking of substance&lt;/p&gt;,2,1,
&lt;p&gt;Which of the following statements is incorrect?&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Stress is directly proportional to strain within elastic limit&lt;/p&gt;,&lt;p&gt;The stress is force per unit area&lt;/p&gt;,&lt;p&gt;Hook&amp;rsquo;s law hold good up to the breaking point&lt;/p&gt;,&lt;p&gt;The ratio of linear stress to linear strain is called Young&amp;rsquo;s Modulus.&lt;/p&gt;,1,1,
&lt;p&gt;Hooke&amp;rsquo;s law holds good upto&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Elastic limit&lt;/p&gt;,&lt;p&gt;Upper yield point&lt;/p&gt;,&lt;p&gt;Plastic limit&lt;/p&gt;,&lt;p&gt;Lower yield point&lt;/p&gt;,1,1,
&lt;p&gt;The property of a material by which it returns partially or completely to its initial shape after unloading is called&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Proportional limit&lt;/p&gt;,&lt;p&gt;Elastic limit&lt;/p&gt;,&lt;p&gt;Plastic limit&lt;/p&gt;,&lt;p&gt;Yield stress&lt;/p&gt;,2,1,
&lt;p&gt;The stress at which extension of a material takes place more quickly as compared to the increase in load is called&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Elastic point&lt;/p&gt;,&lt;p&gt;Plastic point&lt;/p&gt;,&lt;p&gt;Breaking point&lt;/p&gt;,&lt;p&gt;Yielding point&lt;/p&gt;,4,1,
&lt;p&gt;&amp;nbsp;If two objects are in thermal equilibrium with each other:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp; &amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;they cannot be moving&lt;/p&gt;,&lt;p&gt;they cannot be undergoing an elastic collision&lt;/p&gt;,&lt;p&gt;they cannot have different pressures&lt;/p&gt;,&lt;p&gt;they cannot be at different temperatures&lt;/p&gt;,4,1,
&lt;p&gt;&amp;nbsp;Suppose object C is in thermal equilibrium with object A and with object B. The zeroth law of thermodynamics states:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp; &amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;that C will always be in thermal equilibrium with both A and B&lt;/p&gt;,&lt;p&gt;that C must transfer energy to both A and B&lt;/p&gt;,&lt;p&gt;that A is in thermal equilibrium with B&lt;/p&gt;,&lt;p&gt;that A cannot be in thermal equilibrium with B&lt;/p&gt;,3,1,
&lt;p&gt;The zeroth law of thermodynamics allows us to define:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;work&lt;/p&gt;,&lt;p&gt;pressure&lt;/p&gt;,&lt;p&gt;temperature&lt;/p&gt;,&lt;p&gt;thermal equilibrium&lt;/p&gt;,3,1,
"&lt;p&gt;If the zeroth law of thermodynamics were not valid, which of the following could not be considered a property of an object?&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;Pressure&lt;/p&gt;,&lt;p&gt;Temperature&lt;/p&gt;,&lt;p&gt;Internal energy&lt;/p&gt;,&lt;p&gt;Momentum&lt;/p&gt;,2,1,
&lt;p&gt;In constructing a thermometer it is essential to use a substance that:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;expands with rising temperature&lt;/p&gt;,&lt;p&gt;expands linearly with rising temperature&lt;/p&gt;,&lt;p&gt;will not freeze&lt;/p&gt;,&lt;p&gt;undergoes some change when heated or cooled&lt;/p&gt;,4,1,
&lt;p&gt;The &amp;ldquo;triple point&amp;rdquo; of a substance is that point for which the temperature and pressure are such that:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;only solid and liquid are in equilibrium&lt;/p&gt;,&lt;p&gt;only liquid and vapor are in equilibrium&lt;/p&gt;,&lt;p&gt;only solid and vapor are in equilibrium&lt;/p&gt;,"&lt;p&gt;solid, liquid, and vapor are all in equilibrium&lt;/p&gt;",4,1,
&lt;p&gt;There is a temperature at which the reading on the Kelvin scale is numerically:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;equal to that on the Celsius scale&lt;/p&gt;,&lt;p&gt;lower than that on the Celsius scale&lt;/p&gt;,&lt;p&gt;equal to that on the Fahrenheit scale&lt;/p&gt;,&lt;p&gt;less than zero&lt;/p&gt;,3,1,
&lt;p&gt;Room temperature is about 20 degrees on the:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;&amp;nbsp;Kelvin scale&lt;/p&gt;,&lt;p&gt;Celsius scale&lt;/p&gt;,&lt;p&gt;Fahrenheit scale&lt;/p&gt;,&lt;p&gt;Absolute scale&lt;/p&gt;,2,1,
&lt;p&gt;A thermometer indicates 98.6&lt;sup&gt;◦ &lt;/sup&gt;C. It may be:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;outdoors on a cold day&lt;/p&gt;,&lt;p&gt;in a comfortable room&lt;/p&gt;,&lt;p&gt;in a cup of hot tea&lt;/p&gt;,&lt;p&gt;in a normal person&amp;rsquo;s mouth&lt;/p&gt;,3,1,
&lt;p&gt;The two metallic strips that constitute some thermostats must differ in:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;&amp;nbsp;length&lt;/p&gt;,&lt;p&gt;thickness&lt;/p&gt;,&lt;p&gt;coefficient of linear expansion&lt;/p&gt;,&lt;p&gt;rate at which they conduct heat&lt;/p&gt;,3,1,
&lt;p&gt;Thin strips of iron and zinc are riveted together to form a bimetallic strip that bends when&lt;/p&gt;&lt;p&gt;heated. The iron is on the inside of the bend because:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;it has a higher coefficient of linear expansion&lt;/p&gt;,&lt;p&gt;it has a lower coefficient of linear expansion&lt;/p&gt;,&lt;p&gt;it has a higher specific heat&lt;/p&gt;,&lt;p&gt;it has a lower specific heat&lt;/p&gt;,2,1,
&lt;p&gt;It is more difficult to measure the coefficient of volume expansion of a liquid than that of a solid because:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;no relation exists between linear and volume expansion coefficients&lt;/p&gt;,&lt;p&gt;the containing vessel also expands&lt;/p&gt;,&lt;p&gt;a liquid expands too much when heated&lt;/p&gt;,&lt;p&gt;a liquid expands too little when heated&lt;/p&gt;,2,1,
&lt;p&gt;Possible units for the coefficient of volume expansion are:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;mm/&lt;sup&gt;0&lt;/sup&gt;C&lt;/p&gt;,&lt;p&gt;mm&lt;sup&gt;3&lt;/sup&gt;/C&lt;/p&gt;,&lt;p&gt;1/&lt;sup&gt;0&lt;/sup&gt;C&lt;/p&gt;,&lt;p&gt;1/(&lt;sup&gt;0&lt;/sup&gt;C)&lt;sup&gt;3&lt;/sup&gt;&lt;/p&gt;,3,1,
&lt;p&gt;Heat is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;energy transferred by virtue of a temperature difference&lt;/p&gt;,&lt;p&gt;energy transferred by macroscopic work&lt;/p&gt;,&lt;p&gt;energy content of an object&lt;/p&gt;,&lt;p&gt;a temperature difference&lt;/p&gt;,1,1,
&lt;p&gt;Heat has the same units as:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;temperature&lt;/p&gt;,&lt;p&gt;work&lt;/p&gt;,&lt;p&gt;Specific heat capacity&lt;/p&gt;,&lt;p&gt;heat capacity&lt;/p&gt;,2,1,
&lt;p&gt;The heat capacity of an object is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;&amp;nbsp;the amount of heat energy that raises its temperature by 1&lt;sup&gt;0&lt;/sup&gt;C&lt;/p&gt;,&lt;p&gt;the amount of heat energy that changes its state without changing its temperature&lt;/p&gt;,&lt;p&gt;the amount of heat energy per kilogram that raises its temperature by 1&lt;sup&gt;0&lt;/sup&gt;C&lt;/p&gt;,&lt;p&gt;All of the above.&lt;/p&gt;,1,1,
&lt;p&gt;The specific heat of a substance is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;the amount of heat energy to change the state of one gram of the substance&lt;/p&gt;,&lt;p&gt;the amount of heat energy per unit mass emitted by oxidizing the substance&lt;/p&gt;,&lt;p&gt;the amount of heat energy per unit mass to raise the substance from its freezing to its boiling point&lt;/p&gt;,&lt;p&gt;the amount of heat energy per unit mass to raise the temperature of the substance by 1 &lt;sup&gt;0&lt;/sup&gt;C&lt;/p&gt;,4,1,
&lt;p&gt;A heat of transformation of a substance is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;the energy absorbed as heat during a phase transformation&lt;/p&gt;,&lt;p&gt;the energy per unit mass absorbed as heat during a phase transformation&lt;/p&gt;,&lt;p&gt;the same as the heat capacity&lt;/p&gt;,&lt;p&gt;the same as the specific heat&lt;/p&gt;,2,1,
&lt;p&gt;The heat of fusion of water is cal/g. This means 80 cal of energy are required to:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;raise the temperature of 1 g of water by 1K&lt;/p&gt;,&lt;p&gt;turn 1 g of water to steam&lt;/p&gt;,&lt;p&gt;raise the temperature of 1 g of ice by 1K&lt;/p&gt;,&lt;p&gt;melt 1 g of ice&lt;/p&gt;,4,1,
&lt;p&gt;During the time that latent heat is involved in a change of state:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;the temperature does not change&lt;/p&gt;,&lt;p&gt;the substance always expands&lt;/p&gt;,&lt;p&gt;a chemical reaction takes place&lt;/p&gt;,&lt;p&gt;molecular activity remains constant&lt;/p&gt;,1,1,
&lt;p&gt;The formation of ice from water is accompanied by:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;absorption of energy as heat&lt;/p&gt;,&lt;p&gt;temperature increase&lt;/p&gt;,&lt;p&gt;decrease in volume&lt;/p&gt;,&lt;p&gt;an evolution of heat&lt;/p&gt;,1,1,
"&lt;p&gt;On heating a liquid of coefficient of cubical expansion  in a container having coefficient of linear expansion &amp;alpha;/3, the level of liquid in the container will&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;rise&lt;/p&gt;,&lt;p&gt;fall&lt;/p&gt;,&lt;p&gt;remain almost the same&lt;/p&gt;,&lt;p&gt;none of the above&lt;/p&gt;,3,1,
&lt;p&gt;The gas thermometers are more sensitive than the liquid thermometers because gases&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;expand more than liquids&lt;/p&gt;,&lt;p&gt;do not change their states easily&lt;/p&gt;,&lt;p&gt;are much lighter&lt;/p&gt;,&lt;p&gt;are easy to obtain&lt;/p&gt;,1,1,
&lt;p&gt;The temperature of a gas is measured with a&lt;/p&gt;&lt;p&gt;.&lt;/p&gt;,&lt;p&gt;platinum resistance thermometer&lt;/p&gt;,&lt;p&gt;pyrometer&lt;/p&gt;,&lt;p&gt;gas thermometer&lt;/p&gt;,&lt;p&gt;vapour pressure thermometer&lt;/p&gt;,2,1,
&lt;p&gt;Device used to measure very high temperature is&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Pyrometer&lt;/p&gt;,&lt;p&gt;Thermometer&lt;/p&gt;,&lt;p&gt;Bolometer&lt;/p&gt;,&lt;p&gt;Calorimeter&lt;/p&gt;,1,1,
&lt;p&gt;A mercury thermometer can be easily identify by the presence of&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Silver bulb&lt;/p&gt;,&lt;p&gt;Alcohol&lt;/p&gt;,&lt;p&gt;Mercury&lt;/p&gt;,&lt;p&gt;All of the above&lt;/p&gt;,1,1,
&lt;p&gt;A mercury thermometer can be easily identify by the presence of&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Silver bulb&lt;/p&gt;,&lt;p&gt;Alcohol&lt;/p&gt;,&lt;p&gt;Mercury&lt;/p&gt;,&lt;p&gt;All of the above&lt;/p&gt;,1,1,
&lt;p&gt;Most objects expands as their temperature&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Decreases&lt;/p&gt;,&lt;p&gt;Increases&lt;/p&gt;,&lt;p&gt;All of the above&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,2,1,
&lt;p&gt;Volume expansion is noticeable in&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;solid&lt;/p&gt;,&lt;p&gt;Gases&lt;/p&gt;,&lt;p&gt;Liquid&lt;/p&gt;,&lt;p&gt;Plasma&lt;/p&gt;,3,1,
&lt;p&gt;Which of the following is &lt;b&gt;NOT&lt;/b&gt; a temperature scale&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Kelvin&lt;/p&gt;,&lt;p&gt;Fahrenheit&lt;/p&gt;,&lt;p&gt;Joule&lt;/p&gt;,&lt;p&gt;Celsius&lt;/p&gt;,3,1,
&lt;p&gt;Device used to measure heat is&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Pyrometer&lt;/p&gt;,&lt;p&gt;Thermometer&lt;/p&gt;,&lt;p&gt;Bolometer&lt;/p&gt;,&lt;p&gt;Calorimeter&lt;/p&gt;,4,1,
&lt;p&gt;Zeroth law of thermodynamics deals with -------------&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;. Conversion of mass and energy&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;&amp;nbsp; Reversible and irreversible processes&lt;/p&gt;,&lt;p&gt;Objects in thermal equilibrium&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Principle of conseversion of energy&lt;/p&gt;,3,1,
&lt;p&gt;Both heat and temperature are&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Scalar quantity&lt;/p&gt;,&lt;p&gt;Vector quantity&lt;/p&gt;,&lt;p&gt;Scalar and vector quantity&lt;/p&gt;,&lt;p&gt;All of the above&lt;/p&gt;,1,1,
&lt;p&gt;The change of state from solid state to liquid state is known as&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;vaporization&lt;/p&gt;,&lt;p&gt;fusion&lt;/p&gt;,&lt;p&gt;latent heat&lt;/p&gt;,&lt;p&gt;None of the above&lt;/p&gt;,2,1,
&lt;p&gt;&amp;nbsp;Joule per kilogram per Kelvin is the unit of&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;Heat&lt;/p&gt;,&lt;p&gt;Thermal capacity&lt;/p&gt;,&lt;p&gt;Latent heat&lt;/p&gt;,&lt;p&gt;Specific heat capacity&lt;/p&gt;,4,1,
"&lt;p&gt;In SI units a force is numerically equal to the -----------, when the force is applied to it.&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;velocity of the standard kilogram&lt;/p&gt;,&lt;p&gt;acceleration of the standard kilogram&lt;/p&gt;,&lt;p&gt;velocity of any object&lt;/p&gt;,&lt;p&gt;speed of the standard kilogram&lt;/p&gt;,2,1,
&lt;p&gt;A newton is the force:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;of gravity on a 1 kg body&lt;/p&gt;,&lt;p&gt;of gravity on a 1 g body&lt;/p&gt;,&lt;p&gt;that gives a 1 kg body an acceleration of 1 m/s&lt;sup&gt;2&lt;/sup&gt;&lt;/p&gt;,&lt;p&gt;that gives a 1 kg body an acceleration of 1cm/s&lt;sup&gt;2&lt;/sup&gt;&lt;/p&gt;,3,1,
&lt;p&gt;The term &amp;ldquo;&lt;b&gt;mass&lt;/b&gt;&amp;rdquo; refers to the same physical concept as:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;weight&lt;/p&gt;,&lt;p&gt;inertia&lt;/p&gt;,&lt;p&gt;force&lt;/p&gt;,&lt;p&gt;acceleration&lt;/p&gt;,2,1,
&lt;p&gt;The inertia of a body tends to cause the body to:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;speed up&lt;/p&gt;,&lt;p&gt;slow down&lt;/p&gt;,&lt;p&gt;resist any change in its motion&lt;/p&gt;,&lt;p&gt;fall toward Earth&lt;/p&gt;,3,1,
&lt;p&gt;A car travels east at constant velocity. The net force on the car is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;,&lt;p&gt;east&lt;/p&gt;,&lt;p&gt;west&lt;/p&gt;,&lt;p&gt;up&lt;/p&gt;,&lt;p&gt;Zero&lt;/p&gt;,4,1,
"&lt;p&gt;A book rests on a table, exerting a downward force on the table. The reaction to this force&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp; is:&lt;/p&gt;&lt;p&gt;&amp;nbsp;&lt;/p&gt;",&lt;p&gt;the force of Earth on the book&lt;/p&gt;,&lt;p&gt;the force of the table on the book&lt;/p&gt;,&lt;p&gt;the force of Earth on the table&lt;/p&gt;,&lt;p&gt;the force of the book on Earth&lt;/p&gt;,2,1,
